,Outcome,Sex_Intact Female,Sex_Intact Male,Sex_Neutered Male,Sex_Spayed Female,Sex_Unknown,AnimalType_Cat,AnimalType_Dog,HasName_Yes,HasName_No,Age_in_Months,Colors,Breeds
256,Transfer,1,0,0,0,0,1,0,0,1,36.0,Blue,Mix
257,Transfer,0,0,0,1,0,0,1,1,0,48.0,BiColor,Hybrid
258,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
259,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
260,Transfer,0,0,0,1,0,0,1,1,0,120.0,Buff,Purebreed
261,Adoption,0,0,1,0,0,1,0,1,0,2.0,Tabby,Mix
262,Adoption,0,0,0,1,0,0,1,1,0,120.0,Tan,Mix
263,Adoption,0,0,0,1,0,1,0,1,0,24.0,BiColor,Mix
264,Return_to_owner,0,0,0,1,0,0,1,1,0,84.0,BiColor,Mix
265,Adoption,0,0,1,0,0,0,1,0,1,12.0,BiColor,Hybrid
266,Transfer,0,0,1,0,0,0,1,1,0,60.0,BiColor,Mix
267,Return_to_owner,0,0,0,1,0,0,1,1,0,72.0,BiColor,Mix
268,Transfer,0,0,0,0,1,1,0,0,1,0.25,Tabby,Mix
269,Euthanasia,0,0,0,1,0,0,1,0,1,84.0,BiColor,Mix
270,Adoption,0,0,1,0,0,0,1,1,0,12.0,Black,Mix
271,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Hybrid
272,Transfer,1,0,0,0,0,1,0,0,1,0.5,Tabby,Mix
273,Transfer,1,0,0,0,0,1,0,0,1,12.0,Tabby,Mix
274,Return_to_owner,0,0,1,0,0,0,1,1,0,60.0,BiColor,Purebreed
275,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
276,Adoption,0,0,1,0,0,0,1,1,0,10.0,BiColor,Mix
277,Transfer,1,0,0,0,0,1,0,0,1,3.0,Black,Mix
278,Adoption,0,0,1,0,0,0,1,1,0,9.0,BiColor,Hybrid
279,Transfer,1,0,0,0,0,1,0,0,1,1.0,BiColor,Mix
280,Transfer,0,0,0,0,1,1,0,0,1,0.0,Blue,Mix
281,Transfer,0,0,0,1,0,1,0,0,1,60.0,Calico,Mix
282,Adoption,0,0,0,1,0,0,1,0,1,8.0,BiColor,Mix
283,Transfer,0,1,0,0,0,0,1,0,1,12.0,Cream,Mix
284,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tabby,Mix
285,Return_to_owner,0,0,1,0,0,1,0,1,0,3.0,BiColor,Purebreed
286,Return_to_owner,0,1,0,0,0,0,1,1,0,168.0,BiColor,Mix
287,Return_to_owner,0,0,1,0,0,0,1,1,0,84.0,Chocolate,Mix
288,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Purebreed
289,Transfer,0,0,0,1,0,0,1,1,0,6.0,Brown Brindle,Mix
290,Adoption,0,0,1,0,0,0,1,1,0,11.0,BiColor,Mix
291,Adoption,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
292,Transfer,1,0,0,0,0,1,0,1,0,2.0,BiColor,Mix
293,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Hybrid
294,Euthanasia,1,0,0,0,0,1,0,0,1,1.0,Other,Mix
295,Euthanasia,0,0,1,0,0,0,1,1,0,48.0,BiColor,Mix
296,Adoption,0,0,1,0,0,1,0,1,0,96.0,Tabby,Mix
297,Adoption,0,0,0,1,0,1,0,1,0,3.0,Calico,Mix
298,Adoption,0,0,0,1,0,0,1,1,0,2.0,BiColor,Mix
299,Adoption,0,0,0,1,0,1,0,0,1,4.0,Tortie,Mix
300,Euthanasia,0,1,0,0,0,0,1,0,1,24.0,BiColor,Hybrid
301,Return_to_owner,0,0,1,0,0,0,1,1,0,72.0,Brown,Mix
302,Transfer,0,0,0,1,0,0,1,1,0,11.0,BiColor,Mix
303,Transfer,0,0,0,1,0,0,1,0,1,12.0,BiColor,Mix
304,Transfer,0,0,1,0,0,0,1,0,1,48.0,BiColor,Hybrid
305,Adoption,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
306,Transfer,0,0,1,0,0,0,1,0,1,24.0,Red,Mix
307,Adoption,0,0,0,1,0,0,1,0,1,2.0,BiColor,Mix
308,Adoption,0,0,1,0,0,1,0,1,0,6.0,Black,Mix
309,Adoption,0,0,1,0,0,1,0,1,0,96.0,BiColor,Mix
310,Return_to_owner,0,0,1,0,0,1,0,1,0,36.0,Tabby,Mix
311,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
312,Transfer,0,1,0,0,0,0,1,0,1,2.0,BiColor,Mix
313,Transfer,1,0,0,0,0,1,0,0,1,0.75,Tortie,Mix
314,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tabby,Mix
315,Adoption,0,0,1,0,0,0,1,1,0,48.0,Brown,Mix
316,Transfer,0,0,1,0,0,1,0,1,0,60.0,BiColor,Mix
317,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
318,Transfer,1,0,0,0,0,1,0,0,1,6.0,Calico,Mix
319,Transfer,0,0,0,1,0,0,1,0,1,24.0,BiColor,Mix
320,Return_to_owner,0,0,0,1,0,0,1,1,0,120.0,Sable,Hybrid
321,Transfer,0,1,0,0,0,1,0,0,1,6.0,BiColor,Mix
322,Transfer,1,0,0,0,0,1,0,1,0,2.0,Calico,Mix
323,Adoption,0,0,1,0,0,0,1,1,0,6.0,Sable,Mix
324,Return_to_owner,0,0,1,0,0,0,1,1,0,96.0,Tricolor,Mix
325,Adoption,0,0,1,0,0,0,1,0,1,6.0,Buff,Mix
326,Transfer,0,1,0,0,0,1,0,0,1,3.0,Seal Point,Mix
327,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Hybrid
328,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
329,Adoption,0,0,1,0,0,0,1,1,0,2.0,Tricolor,Mix
330,Transfer,0,0,0,0,1,1,0,0,1,0.5,Tabby,Mix
331,Adoption,0,0,0,1,0,0,1,0,1,24.0,Tan,Mix
332,Adoption,0,0,0,1,0,1,0,0,1,2.0,BiColor,Mix
333,Return_to_owner,0,0,1,0,0,1,0,1,0,9.0,BiColor,Mix
334,Transfer,0,0,0,1,0,0,1,0,1,48.0,BiColor,Mix
335,Adoption,0,0,1,0,0,0,1,1,0,4.0,BiColor,Hybrid
336,Transfer,0,1,0,0,0,1,0,0,1,0.0,White,Mix
337,Transfer,0,1,0,0,0,0,1,1,0,72.0,BiColor,Purebreed
338,Adoption,0,0,0,1,0,0,1,1,0,2.0,BiColor,Hybrid
339,Transfer,1,0,0,0,0,1,0,0,1,8.0,Tabby,Mix
340,Transfer,0,1,0,0,0,1,0,1,0,1.0,BiColor,Mix
341,Transfer,1,0,0,0,0,1,0,0,1,4.0,Black,Mix
342,Adoption,1,0,0,0,0,1,0,1,0,2.0,Torbie,Mix
343,Return_to_owner,1,0,0,0,0,0,1,1,0,24.0,Other,Mix
344,Adoption,0,0,1,0,0,0,1,0,1,4.0,Tricolor,Hybrid
345,Transfer,0,1,0,0,0,1,0,0,1,12.0,Tabby,Mix
346,Adoption,0,0,0,1,0,1,0,0,1,3.0,BiColor,Mix
347,Transfer,0,1,0,0,0,1,0,0,1,2.0,BiColor,Mix
348,Adoption,0,0,0,1,0,1,0,1,0,4.0,BiColor,Mix
349,Adoption,0,0,1,0,0,0,1,1,0,60.0,Brown Brindle,Hybrid
350,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
351,Transfer,1,0,0,0,0,1,0,0,1,0.5,Tabby,Mix
352,Adoption,0,0,0,1,0,1,0,1,0,2.0,Black,Mix
353,Adoption,0,0,0,1,0,0,1,0,1,10.0,BiColor,Mix
354,Transfer,0,0,1,0,0,0,1,0,1,24.0,BiColor,Hybrid
355,Adoption,0,0,0,1,0,0,1,1,0,10.0,White,Hybrid
356,Transfer,0,1,0,0,0,1,0,0,1,1.0,Blue,Mix
