,Outcome,Sex_Intact Female,Sex_Intact Male,Sex_Neutered Male,Sex_Spayed Female,Sex_Unknown,AnimalType_Cat,AnimalType_Dog,HasName,Age_in_Months,Adopted_Month,Adopted_Time,Colors,Breeds
59,Adoption,0,0,1,0,0,0,1,1,24.0,7,12,13924,3040
60,Transfer,0,1,0,0,0,1,0,1,12.0,8,13,13924,22298
61,Euthanasia,0,0,0,1,0,0,1,1,132.0,5,7,13924,22298
62,Transfer,1,0,0,0,0,1,0,1,1.0,10,7,2292,22298
63,Adoption,0,0,0,1,0,0,1,1,24.0,9,11,13924,22298
64,Transfer,0,0,0,0,1,1,0,0,0.5,7,17,2292,22298
65,Return_to_owner,0,0,0,1,0,0,1,1,72.0,10,18,932,22298
66,Transfer,0,0,1,0,0,0,1,1,6.0,12,15,13924,22298
67,Transfer,1,0,0,0,0,0,1,1,2.0,9,15,2772,1391
68,Transfer,0,0,0,0,1,1,0,0,2.0,6,9,13924,22298
69,Adoption,0,0,0,1,0,0,1,1,12.0,5,18,2772,22298
70,Adoption,0,0,1,0,0,0,1,1,2.0,4,17,639,22298
71,Transfer,0,0,1,0,0,0,1,1,24.0,1,14,13924,22298
72,Adoption,0,0,0,1,0,0,1,0,36.0,3,15,932,3040
73,Return_to_owner,1,0,0,0,0,1,0,1,12.0,8,11,2292,22298
74,Return_to_owner,0,0,0,1,0,0,1,1,48.0,12,16,13924,22298
75,Transfer,0,0,0,1,0,0,1,1,24.0,8,14,628,3040
76,Adoption,0,0,0,1,0,1,0,1,3.0,6,17,3212,1391
77,Euthanasia,1,0,0,0,0,1,0,0,12.0,3,9,517,22298
78,Adoption,0,0,1,0,0,0,1,1,2.0,6,7,2292,3040
79,Transfer,0,0,0,1,0,1,0,0,24.0,12,19,13924,22298
80,Adoption,0,0,1,0,0,0,1,1,12.0,12,10,932,1391
81,Euthanasia,0,0,0,0,1,1,0,0,0.5,9,10,3212,22298
82,Transfer,0,0,0,0,1,1,0,1,1.0,5,18,532,22298
83,Transfer,0,1,0,0,0,1,0,0,24.0,10,9,3212,22298
84,Euthanasia,0,0,1,0,0,0,1,1,144.0,2,17,2772,22298
85,Adoption,0,0,1,0,0,0,1,0,12.0,9,18,13924,3040
86,Adoption,0,0,1,0,0,1,0,1,2.0,7,15,2292,22298
87,Transfer,0,1,0,0,0,1,0,0,0.5,7,4,2292,22298
88,Transfer,1,0,0,0,0,0,1,0,3.0,4,18,13924,22298
89,Adoption,0,0,0,1,0,1,0,0,3.0,11,15,517,22298
90,Adoption,0,0,1,0,0,0,1,1,5.0,12,14,13924,22298
91,Adoption,0,0,0,1,0,0,1,1,36.0,2,14,2292,3040
92,Transfer,0,0,0,1,0,0,1,1,84.0,4,11,13924,1391
93,Euthanasia,0,0,0,1,0,0,1,1,24.0,2,18,13924,22298
94,Adoption,0,0,0,1,0,1,0,1,4.0,12,11,2292,22298
95,Adoption,0,0,0,1,0,0,1,1,108.0,11,6,13924,3040
96,Transfer,0,0,1,0,0,0,1,1,7.0,12,12,13924,22298
97,Adoption,0,0,1,0,0,1,0,0,2.0,7,19,13924,22298
98,Transfer,0,1,0,0,0,1,0,0,36.0,10,9,13924,22298
99,Adoption,0,0,1,0,0,0,1,0,36.0,1,16,2772,22298
100,Adoption,0,0,1,0,0,0,1,1,60.0,5,17,13924,22298
101,Transfer,0,0,1,0,0,0,1,1,60.0,1,5,13924,22298
102,Transfer,1,0,0,0,0,1,0,0,0.5,10,11,2772,22298
103,Transfer,0,0,0,0,1,1,0,0,0.5,7,14,2292,22298
104,Transfer,0,0,0,1,0,1,0,1,48.0,1,14,2772,22298
105,Return_to_owner,0,0,1,0,0,0,1,1,48.0,4,6,13924,22298
106,Adoption,0,0,1,0,0,1,0,1,2.0,7,18,3212,22298
107,Return_to_owner,0,0,0,1,0,0,1,1,24.0,12,2,13924,22298
108,Adoption,0,0,1,0,0,0,1,1,24.0,3,18,932,22298
109,Return_to_owner,0,0,1,0,0,0,1,1,108.0,3,11,13924,22298
110,Return_to_owner,0,0,1,0,0,0,1,1,60.0,2,16,2772,22298
111,Euthanasia,0,0,1,0,0,0,1,1,12.0,12,16,13924,3040
112,Adoption,0,0,0,1,0,0,1,1,24.0,10,16,13924,22298
113,Transfer,0,1,0,0,0,1,0,0,0.75,5,15,3212,22298
114,Transfer,0,1,0,0,0,0,1,1,5.0,7,15,13924,22298
115,Euthanasia,0,1,0,0,0,1,0,0,72.0,1,16,3212,22298
116,Adoption,0,0,0,1,0,0,1,1,12.0,3,15,628,22298
117,Transfer,0,1,0,0,0,0,1,1,3.0,11,24,13924,22298
118,Transfer,1,0,0,0,0,1,0,1,1.0,10,18,517,22298
119,Return_to_owner,0,0,0,1,0,0,1,1,36.0,5,16,639,22298
120,Return_to_owner,0,0,1,0,0,0,1,1,60.0,4,17,2292,22298
121,Adoption,0,0,1,0,0,0,1,1,96.0,5,11,2292,3040
122,Adoption,0,0,0,1,0,0,1,0,2.0,9,14,13924,22298
123,Euthanasia,1,0,0,0,0,1,0,0,84.0,11,11,530,22298
124,Adoption,1,0,0,0,0,1,0,1,2.0,10,18,2292,22298
125,Adoption,0,0,1,0,0,0,1,1,60.0,9,3,2292,1391
126,Adoption,0,0,1,0,0,0,1,1,12.0,1,17,13924,22298
127,Transfer,0,1,0,0,0,1,0,0,3.0,8,9,3212,22298
128,Return_to_owner,0,0,1,0,0,0,1,1,24.0,3,18,13924,22298
129,Return_to_owner,0,0,0,1,0,0,1,1,108.0,1,11,13924,22298
130,Adoption,0,0,0,1,0,0,1,1,36.0,10,17,13924,22298
131,Return_to_owner,0,0,0,1,0,1,0,1,36.0,10,18,517,22298
132,Adoption,0,0,0,1,0,0,1,1,12.0,1,3,13924,3040
133,Transfer,0,0,0,1,0,0,1,1,24.0,1,15,13924,22298
134,Return_to_owner,0,0,0,1,0,0,1,1,12.0,12,17,2772,1391
135,Transfer,0,0,1,0,0,1,0,1,24.0,6,16,532,22298
136,Return_to_owner,0,0,0,1,0,0,1,1,24.0,5,15,639,22298
137,Transfer,1,0,0,0,0,1,0,0,24.0,6,9,13924,22298
138,Transfer,0,0,0,0,1,1,0,0,3.0,10,9,530,22298
139,Adoption,0,0,0,1,0,0,1,1,1.0,11,18,2772,3040
140,Adoption,0,0,1,0,0,1,0,0,2.0,8,13,13924,22298
141,Adoption,0,0,1,0,0,1,0,0,10.0,2,19,3212,22298
142,Transfer,0,0,0,1,0,1,0,1,24.0,2,16,13924,22298
143,Adoption,0,0,0,1,0,1,0,1,2.0,6,15,517,22298
144,Adoption,0,0,1,0,0,0,1,1,6.0,11,11,2772,22298
145,Adoption,0,0,0,1,0,1,0,1,2.0,11,14,3212,22298
146,Adoption,0,0,0,1,0,0,1,0,12.0,9,9,628,22298
147,Transfer,1,0,0,0,0,0,1,1,6.0,10,14,13924,22298
148,Adoption,0,0,0,1,0,1,0,1,12.0,6,17,13924,22298
149,Transfer,0,1,0,0,0,1,0,0,0.75,9,18,517,22298
150,Adoption,0,0,1,0,0,1,0,1,24.0,2,14,3212,22298
151,Adoption,0,0,0,1,0,0,1,1,11.0,11,13,13924,22298
152,Transfer,0,0,1,0,0,0,1,0,3.0,3,16,2772,22298
153,Return_to_owner,0,0,0,1,0,0,1,1,24.0,2,12,639,1391
154,Transfer,0,0,1,0,0,0,1,1,24.0,9,12,2772,22298
155,Adoption,0,0,1,0,0,0,1,1,24.0,8,11,13924,22298
156,Adoption,0,0,0,1,0,1,0,1,4.0,7,18,517,1391
157,Transfer,1,0,0,0,0,0,1,0,4.0,8,15,2772,3040
158,Transfer,1,0,0,0,0,1,0,0,5.0,9,9,2772,22298
159,Adoption,0,0,1,0,0,1,0,1,2.0,12,11,13924,22298
160,Transfer,0,0,1,0,0,0,1,1,84.0,7,15,13924,22298
161,Adoption,0,0,1,0,0,1,0,1,48.0,1,5,13924,22298
162,Transfer,1,0,0,0,0,1,0,0,0.75,9,11,13924,22298
163,Adoption,0,0,1,0,0,0,1,1,6.0,12,8,13924,22298
164,Adoption,1,0,0,0,0,0,1,1,5.0,8,17,13924,22298
165,Return_to_owner,0,0,0,1,0,0,1,1,96.0,1,11,932,1391
166,Adoption,0,0,1,0,0,1,0,0,2.0,7,17,2292,22298
167,Adoption,0,0,0,1,0,1,0,1,1.0,7,5,13924,22298
168,Return_to_owner,0,0,0,1,0,0,1,0,5.0,2,18,932,22298
169,Transfer,0,1,0,0,0,1,0,1,1.0,5,13,3212,22298
170,Transfer,0,1,0,0,0,1,0,0,4.0,10,9,3212,22298
171,Adoption,0,0,0,1,0,0,1,1,12.0,8,11,13924,22298
172,Adoption,0,0,1,0,0,0,1,1,24.0,8,16,13924,3040
173,Transfer,0,0,0,1,0,1,0,1,132.0,11,15,530,22298
174,Adoption,0,0,1,0,0,0,1,0,2.0,6,9,2772,3040
175,Transfer,0,0,1,0,0,1,0,1,2.0,9,24,13924,22298
176,Adoption,1,0,0,0,0,1,0,1,2.0,10,18,3212,22298
177,Adoption,0,0,0,1,0,0,1,1,1.0,4,14,13924,3040
178,Return_to_owner,0,0,0,1,0,0,1,1,84.0,5,11,13924,3040
179,Transfer,0,1,0,0,0,1,0,0,0.0,5,13,13924,22298
180,Return_to_owner,0,0,1,0,0,0,1,1,48.0,11,13,13924,1391
181,Transfer,0,0,0,1,0,0,1,1,24.0,12,24,13924,22298
182,Return_to_owner,0,0,0,1,0,0,1,1,12.0,11,13,13924,22298
183,Return_to_owner,0,0,1,0,0,0,1,1,24.0,12,5,13924,22298
184,Transfer,1,0,0,0,0,1,0,0,1.0,9,18,3212,22298
185,Transfer,1,0,0,0,0,1,0,1,12.0,11,11,13924,22298
186,Adoption,0,0,0,1,0,0,1,1,24.0,5,17,13924,3040
187,Transfer,0,1,0,0,0,1,0,0,10.0,10,12,3212,22298
188,Transfer,0,0,0,1,0,0,1,1,48.0,3,12,932,22298
189,Adoption,0,0,0,1,0,1,0,1,4.0,7,17,13924,22298
190,Transfer,0,0,0,1,0,0,1,1,72.0,5,11,13924,3040
191,Adoption,0,0,0,1,0,0,1,0,9.0,5,17,13924,22298
192,Adoption,0,0,0,1,0,0,1,1,36.0,9,14,2772,3040
193,Adoption,0,0,0,1,0,1,0,1,8.0,11,12,2772,22298
194,Adoption,0,0,0,1,0,0,1,1,10.0,5,12,13924,3040
195,Transfer,0,0,1,0,0,1,0,0,12.0,9,24,13924,22298
196,Adoption,0,0,1,0,0,0,1,1,12.0,10,16,2772,22298
197,Adoption,0,0,1,0,0,0,1,1,12.0,7,18,13924,22298
198,Adoption,0,0,1,0,0,0,1,1,3.0,7,2,2772,22298
199,Return_to_owner,0,1,0,0,0,0,1,1,72.0,11,18,13924,22298
200,Transfer,0,0,0,0,1,1,0,0,12.0,1,15,2292,22298
201,Return_to_owner,0,0,1,0,0,0,1,1,24.0,4,10,13924,22298
202,Adoption,0,0,0,1,0,0,1,0,60.0,11,18,13924,22298
203,Euthanasia,0,0,1,0,0,1,0,0,144.0,5,16,13924,22298
204,Adoption,0,0,0,1,0,0,1,1,24.0,4,12,2772,22298
205,Adoption,0,0,1,0,0,0,1,1,72.0,10,18,13924,22298
206,Adoption,0,0,1,0,0,1,0,1,3.0,6,18,2292,22298
207,Return_to_owner,0,0,0,1,0,0,1,1,8.0,2,11,2772,22298
208,Transfer,0,0,1,0,0,1,0,1,12.0,12,15,2292,22298
209,Transfer,1,0,0,0,0,1,0,1,180.0,10,15,2292,22298
210,Transfer,1,0,0,0,0,0,1,0,0.75,10,17,13924,22298
211,Adoption,0,0,1,0,0,0,1,1,5.0,11,7,13924,3040
212,Adoption,0,0,1,0,0,0,1,0,24.0,5,15,13924,3040
213,Adoption,0,0,0,1,0,0,1,1,24.0,12,9,13924,22298
214,Return_to_owner,0,1,0,0,0,0,1,1,24.0,11,6,13924,22298
215,Adoption,0,0,0,1,0,0,1,0,24.0,1,14,13924,22298
216,Transfer,1,0,0,0,0,1,0,0,0.75,9,18,517,22298
217,Transfer,0,0,0,1,0,0,1,1,12.0,5,13,13924,22298
218,Transfer,0,1,0,0,0,1,0,0,24.0,3,9,13924,22298
219,Transfer,0,1,0,0,0,1,0,1,1.0,10,14,3212,22298
220,Transfer,0,0,1,0,0,0,1,1,48.0,4,15,13924,22298
221,Transfer,0,1,0,0,0,1,0,0,0.75,6,15,3212,22298
222,Adoption,0,1,0,0,0,1,0,1,2.0,5,8,2292,22298
223,Transfer,0,0,0,1,0,0,1,1,12.0,2,15,13924,22298
224,Adoption,0,0,0,1,0,0,1,1,2.0,5,16,13924,22298
225,Adoption,0,0,0,1,0,0,1,1,12.0,11,17,13924,3040
226,Adoption,0,0,0,1,0,0,1,0,36.0,7,17,2772,22298
227,Euthanasia,0,0,1,0,0,0,1,1,108.0,1,18,2292,3040
228,Return_to_owner,0,0,0,1,0,1,0,1,24.0,9,5,13924,22298
229,Transfer,0,0,0,1,0,0,1,0,60.0,12,10,13924,1391
230,Return_to_owner,0,1,0,0,0,0,1,1,24.0,11,11,13924,22298
231,Return_to_owner,0,0,1,0,0,0,1,1,24.0,5,4,639,1391
232,Return_to_owner,0,0,1,0,0,0,1,1,84.0,11,16,13924,1391
233,Transfer,1,0,0,0,0,1,0,0,12.0,7,9,13924,22298
234,Adoption,0,0,0,1,0,1,0,1,72.0,11,15,13924,22298
235,Adoption,0,0,1,0,0,1,0,1,2.0,7,4,13924,22298
236,Return_to_owner,0,0,0,1,0,0,1,1,12.0,5,18,13924,22298
237,Adoption,0,0,1,0,0,1,0,0,2.0,11,14,13924,22298
238,Return_to_owner,0,0,0,1,0,0,1,1,72.0,11,14,2772,22298
239,Transfer,0,1,0,0,0,1,0,0,2.0,5,2,13924,22298
240,Adoption,0,0,0,1,0,0,1,1,24.0,6,15,13924,22298
241,Adoption,0,0,1,0,0,1,0,1,84.0,8,18,532,22298
242,Adoption,0,0,0,1,0,1,0,1,3.0,12,12,13924,22298
243,Adoption,0,0,1,0,0,0,1,1,36.0,11,18,2772,22298
244,Transfer,1,0,0,0,0,1,0,0,24.0,4,15,2292,22298
245,Adoption,0,0,0,1,0,0,1,0,84.0,12,17,13924,1391
246,Euthanasia,0,1,0,0,0,1,0,0,1.0,5,17,13924,22298
247,Return_to_owner,0,0,0,1,0,0,1,1,24.0,11,19,13924,22298
248,Return_to_owner,1,0,0,0,0,0,1,1,5.0,8,24,13924,22298
249,Transfer,0,0,1,0,0,0,1,1,48.0,6,11,13924,3040
250,Return_to_owner,0,0,1,0,0,0,1,1,24.0,3,13,2772,22298
251,Transfer,0,0,0,1,0,0,1,1,84.0,2,24,2772,22298
252,Adoption,0,0,1,0,0,0,1,1,12.0,7,12,639,3040
253,Transfer,0,0,1,0,0,1,0,0,1.0,12,12,13924,22298
254,Adoption,0,0,1,0,0,0,1,1,1.0,1,13,13924,3040
255,Adoption,0,0,1,0,0,1,0,1,2.0,9,14,13924,22298
256,Transfer,1,0,0,0,0,1,0,0,36.0,10,9,2772,22298
257,Transfer,0,0,0,1,0,0,1,1,48.0,7,13,13924,3040
258,Adoption,0,0,0,1,0,0,1,1,12.0,10,12,13924,22298
259,Adoption,0,0,0,1,0,0,1,1,24.0,8,18,13924,22298
260,Transfer,0,0,0,1,0,0,1,1,120.0,5,15,2772,1391
261,Adoption,0,0,1,0,0,1,0,1,2.0,10,16,3212,22298
262,Adoption,0,0,0,1,0,0,1,1,120.0,4,1,628,22298
263,Adoption,0,0,0,1,0,1,0,1,24.0,7,14,13924,22298
264,Return_to_owner,0,0,0,1,0,0,1,1,84.0,7,9,13924,22298
265,Adoption,0,0,1,0,0,0,1,0,12.0,8,12,13924,3040
266,Transfer,0,0,1,0,0,0,1,1,60.0,9,13,13924,22298
267,Return_to_owner,0,0,0,1,0,0,1,1,72.0,3,17,13924,22298
268,Transfer,0,0,0,0,1,1,0,0,0.25,8,15,3212,22298
269,Euthanasia,0,0,0,1,0,0,1,0,84.0,7,6,13924,22298
270,Adoption,0,0,1,0,0,0,1,1,12.0,10,17,2292,22298
271,Adoption,0,0,1,0,0,0,1,1,12.0,7,12,13924,3040
272,Transfer,1,0,0,0,0,1,0,0,0.5,5,17,3212,22298
273,Transfer,1,0,0,0,0,1,0,0,12.0,12,3,3212,22298
274,Return_to_owner,0,0,1,0,0,0,1,1,60.0,12,14,13924,1391
275,Return_to_owner,0,0,0,1,0,0,1,1,24.0,8,11,13924,22298
276,Adoption,0,0,1,0,0,0,1,1,10.0,3,4,13924,22298
277,Transfer,1,0,0,0,0,1,0,0,3.0,5,14,2292,22298
278,Adoption,0,0,1,0,0,0,1,1,9.0,2,18,13924,3040
279,Transfer,1,0,0,0,0,1,0,0,1.0,9,15,13924,22298
280,Transfer,0,0,0,0,1,1,0,0,0.0,4,15,2772,22298
281,Transfer,0,0,0,1,0,1,0,0,60.0,11,9,517,22298
282,Adoption,0,0,0,1,0,0,1,0,8.0,2,16,13924,22298
283,Transfer,0,1,0,0,0,0,1,0,12.0,4,14,2772,22298
284,Adoption,0,0,0,1,0,1,0,1,2.0,10,10,3212,22298
285,Return_to_owner,0,0,1,0,0,1,0,1,3.0,10,17,13924,1391
286,Return_to_owner,0,1,0,0,0,0,1,1,168.0,4,15,13924,22298
287,Return_to_owner,0,0,1,0,0,0,1,1,84.0,3,10,2772,22298
288,Adoption,0,0,1,0,0,0,1,1,24.0,1,11,13924,1391
289,Transfer,0,0,0,1,0,0,1,1,6.0,11,24,2772,22298
290,Adoption,0,0,1,0,0,0,1,1,11.0,1,15,13924,22298
291,Adoption,0,0,1,0,0,0,1,1,36.0,2,14,13924,22298
292,Transfer,1,0,0,0,0,1,0,1,2.0,11,13,13924,22298
293,Adoption,0,0,1,0,0,0,1,1,12.0,4,11,13924,3040
294,Euthanasia,1,0,0,0,0,1,0,0,1.0,9,18,532,22298
295,Euthanasia,0,0,1,0,0,0,1,1,48.0,3,19,13924,22298
296,Adoption,0,0,1,0,0,1,0,1,96.0,11,14,3212,22298
297,Adoption,0,0,0,1,0,1,0,1,3.0,10,1,517,22298
298,Adoption,0,0,0,1,0,0,1,1,2.0,11,14,13924,22298
299,Adoption,0,0,0,1,0,1,0,0,4.0,8,12,530,22298
300,Euthanasia,0,1,0,0,0,0,1,0,24.0,3,10,13924,3040
301,Return_to_owner,0,0,1,0,0,0,1,1,72.0,7,17,639,22298
302,Transfer,0,0,0,1,0,0,1,1,11.0,8,13,13924,22298
303,Transfer,0,0,0,1,0,0,1,0,12.0,10,16,13924,22298
304,Transfer,0,0,1,0,0,0,1,0,48.0,11,16,13924,3040
305,Adoption,0,0,1,0,0,1,0,1,2.0,9,10,13924,22298
306,Transfer,0,0,1,0,0,0,1,0,24.0,11,24,2772,22298
307,Adoption,0,0,0,1,0,0,1,0,2.0,11,7,13924,22298
308,Adoption,0,0,1,0,0,1,0,1,6.0,1,18,2292,22298
309,Adoption,0,0,1,0,0,1,0,1,96.0,8,17,13924,22298
310,Return_to_owner,0,0,1,0,0,1,0,1,36.0,2,17,3212,22298
311,Adoption,0,0,1,0,0,0,1,1,24.0,8,17,13924,22298
312,Transfer,0,1,0,0,0,0,1,0,2.0,11,15,13924,22298
313,Transfer,1,0,0,0,0,1,0,0,0.75,9,13,530,22298
314,Adoption,0,0,0,1,0,1,0,1,2.0,6,14,3212,22298
315,Adoption,0,0,1,0,0,0,1,1,48.0,6,1,639,22298
316,Transfer,0,0,1,0,0,1,0,1,60.0,12,14,13924,22298
317,Adoption,0,0,0,1,0,0,1,1,24.0,11,13,13924,22298
318,Transfer,1,0,0,0,0,1,0,0,6.0,10,15,517,22298
319,Transfer,0,0,0,1,0,0,1,0,24.0,5,19,13924,22298
320,Return_to_owner,0,0,0,1,0,0,1,1,120.0,9,10,2772,3040
321,Transfer,0,1,0,0,0,1,0,0,6.0,12,9,13924,22298
322,Transfer,1,0,0,0,0,1,0,1,2.0,4,12,517,22298
323,Adoption,0,0,1,0,0,0,1,1,6.0,2,17,2772,22298
324,Return_to_owner,0,0,1,0,0,0,1,1,96.0,1,18,2772,22298
325,Adoption,0,0,1,0,0,0,1,0,6.0,11,12,2772,22298
326,Transfer,0,1,0,0,0,1,0,0,3.0,8,17,532,22298
327,Adoption,0,0,0,1,0,0,1,1,12.0,1,18,13924,3040
328,Adoption,0,0,0,1,0,0,1,1,12.0,3,17,13924,22298
329,Adoption,0,0,1,0,0,0,1,1,2.0,5,5,2772,22298
330,Transfer,0,0,0,0,1,1,0,0,0.5,5,18,3212,22298
331,Adoption,0,0,0,1,0,0,1,0,24.0,1,9,628,22298
332,Adoption,0,0,0,1,0,1,0,0,2.0,9,11,13924,22298
333,Return_to_owner,0,0,1,0,0,1,0,1,9.0,9,11,13924,22298
334,Transfer,0,0,0,1,0,0,1,0,48.0,12,14,13924,22298
335,Adoption,0,0,1,0,0,0,1,1,4.0,11,18,13924,3040
336,Transfer,0,1,0,0,0,1,0,0,0.0,7,18,932,22298
337,Transfer,0,1,0,0,0,0,1,1,72.0,5,15,13924,1391
338,Adoption,0,0,0,1,0,0,1,1,2.0,1,17,13924,3040
339,Transfer,1,0,0,0,0,1,0,0,8.0,4,15,3212,22298
340,Transfer,0,1,0,0,0,1,0,1,1.0,8,14,13924,22298
341,Transfer,1,0,0,0,0,1,0,0,4.0,11,14,2292,22298
342,Adoption,1,0,0,0,0,1,0,1,2.0,7,12,2772,22298
343,Return_to_owner,1,0,0,0,0,0,1,1,24.0,5,5,2772,22298
344,Adoption,0,0,1,0,0,0,1,0,4.0,4,15,2772,3040
345,Transfer,0,1,0,0,0,1,0,0,12.0,2,19,3212,22298
346,Adoption,0,0,0,1,0,1,0,0,3.0,7,9,13924,22298
347,Transfer,0,1,0,0,0,1,0,0,2.0,7,14,13924,22298
348,Adoption,0,0,0,1,0,1,0,1,4.0,12,10,13924,22298
349,Adoption,0,0,1,0,0,0,1,1,60.0,6,1,2772,3040
350,Return_to_owner,0,0,0,1,0,0,1,1,24.0,1,6,13924,22298
351,Transfer,1,0,0,0,0,1,0,0,0.5,7,13,3212,22298
352,Adoption,0,0,0,1,0,1,0,1,2.0,11,11,2292,22298
353,Adoption,0,0,0,1,0,0,1,0,10.0,11,1,13924,22298
354,Transfer,0,0,1,0,0,0,1,0,24.0,6,13,13924,3040
355,Adoption,0,0,0,1,0,0,1,1,10.0,11,2,932,3040
356,Transfer,0,1,0,0,0,1,0,0,1.0,7,16,2772,22298
357,Return_to_owner,0,0,1,0,0,0,1,1,12.0,6,16,13924,1391
358,Adoption,0,0,0,1,0,1,0,1,7.0,1,17,13924,22298
359,Adoption,0,0,0,1,0,0,1,1,24.0,2,14,13924,22298
360,Transfer,0,0,0,1,0,0,1,1,84.0,1,16,13924,1391
361,Adoption,0,0,1,0,0,1,0,1,2.0,7,18,3212,22298
362,Euthanasia,0,0,1,0,0,1,0,1,144.0,8,18,13924,22298
363,Transfer,1,0,0,0,0,0,1,1,36.0,9,14,2772,22298
364,Transfer,0,0,0,1,0,1,0,1,3.0,12,11,13924,22298
365,Adoption,0,0,0,1,0,0,1,1,24.0,10,7,13924,3040
366,Return_to_owner,1,0,0,0,0,0,1,1,144.0,4,2,2772,22298
